pde_type,method,seed,L2_error,Linf_error,training_time,source_shard
burgers_hires,RAR_D,31415,0.2456261440110756,1.7101117840153237,468.4064123749995,production_results_shard_pAB.csv
burgers_hires,Standard_PINN,42,0.0079057903643935,0.0475714710659263,1063.988041167,production_results_shard_s42.csv
burgers_hires,Standard_PINN,123,0.0058937179563897,0.0778928970125212,1065.989935208,production_results_shard_s123.csv
burgers_hires,Standard_PINN,456,0.0147233390535868,0.1731671710031885,1063.0368883330002,production_results_shard_s456.csv
burgers_hires,Standard_PINN,777,0.0243291087811521,0.2897324016133044,1058.278109459,production_results_shard_pCD.csv
burgers_hires,Standard_PINN,789,0.020949093484343,0.2194186630837412,1060.726314042,production_results_shard_s789.csv
burgers_hires,Standard_PINN,1024,0.0119038645710139,0.110578278314743,1060.8883351660002,production_results_shard_s1024.csv
burgers_hires,Standard_PINN,2025,0.0128416541237946,0.1350985410290335,1062.876213916,production_results_shard_s2025.csv
burgers_hires,Standard_PINN,2718,0.0176882912487536,0.1879518479185973,1056.366315209,production_results_shard_pAB.csv
burgers_hires,Standard_PINN,9001,0.0094997918913662,0.0811482792665053,475.3359620409992,production_results_shard_pCD.csv
burgers_hires,Standard_PINN,31415,0.0162769596630917,0.1212301946388947,477.6084341250007,production_results_shard_pAB.csv
convection,CARS,42,0.6675403572745516,1.1412054746706743,664.629618334,production_results_shard_s42.csv
convection,CARS,123,0.6165029202506989,1.11366842721141,661.1527020839994,production_results_shard_s123.csv
convection,CARS,456,0.7097898637446514,1.125121827487724,664.134341,production_results_shard_s456.csv
convection,CARS,777,0.7177946171184688,1.1876565025364405,673.8799696670003,production_results_shard_pCD.csv
convection,CARS,789,0.0400217760750577,0.0729194651678173,663.5235470419993,production_results_shard_s789.csv
convection,CARS,1024,0.7218307377192593,1.2128106312258848,662.1450937079999,production_results_shard_s1024.csv
convection,CARS,2025,0.6563721841745969,1.1584767358021175,660.7031972080003,production_results_shard_s2025.csv
convection,CARS,2718,0.6920124278909573,1.1421518176164789,667.214286167,production_results_shard_pAB.csv
convection,CARS,9001,0.6124174297296529,1.1029461578626951,294.96218187499835,production_results_shard_pCD.csv
convection,CARS,31415,0.0277832781422693,0.0444492350274602,295.23643141699904,production_results_shard_pAB.csv
convection,PACMANN,42,0.7307420830282282,1.135828809844802,629.4424013329999,production_results_shard_s42.csv
convection,PACMANN,123,0.7039712255445507,1.0526604102213235,628.6498920829999,production_results_shard_s123.csv
convection,PACMANN,456,0.7078628534115899,1.0748299602285774,621.9546019579993,production_results_shard_s456.csv
convection,PACMANN,777,0.6359500003945636,1.1495372444851522,635.5758194580003,production_results_shard_pCD.csv
convection,PACMANN,789,0.6676814110271472,1.0673243080068844,626.7660114589999,production_results_shard_s789.csv
convection,PACMANN,1024,0.8272918292788976,1.3039299802966506,623.5194827080004,production_results_shard_s1024.csv
convection,PACMANN,2025,0.7009109197256225,1.057764252621699,627.7385906250001,production_results_shard_s2025.csv
convection,PACMANN,2718,0.7498134493596216,1.0721057326897956,630.6572972499998,production_results_shard_pAB.csv
convection,PACMANN,9001,0.7391801312320945,1.1603403510617327,303.4341073329997,production_results_shard_pCD.csv
convection,PACMANN,31415,0.7485144310359236,1.120173302458295,302.8850788330001,production_results_shard_pAB.csv
convection,RAR_D,42,0.3614396519942013,0.5776271893863535,550.5280427079997,production_results_shard_s42.csv
convection,RAR_D,123,0.0563359208508074,0.1213346672969326,550.2029539579999,production_results_shard_s123.csv
convection,RAR_D,456,0.0338749878524482,0.0600064556797601,546.8356940839994,production_results_shard_s456.csv
convection,RAR_D,777,0.0301175368529932,0.0630288607832905,549.4802745839997,production_results_shard_pCD.csv
convection,RAR_D,789,0.0318791251784156,0.0677478629202985,547.3721330829994,production_results_shard_s789.csv
convection,RAR_D,1024,0.0442013798044871,0.0859385681513646,544.1741802500001,production_results_shard_s1024.csv
convection,RAR_D,2025,0.0270446256911848,0.0446694942885952,547.6977511249997,production_results_shard_s2025.csv
convection,RAR_D,2718,0.030266830022414,0.0520673468269735,546.6680706249999,production_results_shard_pAB.csv
convection,RAR_D,9001,0.0512454701456837,0.1004097691255721,280.34857858299983,production_results_shard_pCD.csv
convection,RAR_D,31415,0.034359012031757,0.064363730610582,280.0214440839991,production_results_shard_pAB.csv
convection,Standard_PINN,42,0.0312905388193205,0.0559466860751655,535.2817790419995,production_results_shard_s42.csv
convection,Standard_PINN,123,0.0321596125828905,0.0658828357864257,534.2791677499999,production_results_shard_s123.csv
convection,Standard_PINN,456,0.0409352752280329,0.0845436090698563,533.695018333,production_results_shard_s456.csv
convection,Standard_PINN,777,0.0322629364793997,0.0525039632654086,533.8911410000001,production_results_shard_pCD.csv
convection,Standard_PINN,789,0.0345278338991064,0.0604541355941755,536.3481637089999,production_results_shard_s789.csv
convection,Standard_PINN,1024,0.0289011364941294,0.0634167423645961,534.0155779159995,production_results_shard_s1024.csv
convection,Standard_PINN,2025,0.0301783218543609,0.0595327124243477,534.843051625,production_results_shard_s2025.csv
